category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
151|21967,Truck Boxes|Truck Boxes,117-0-02,"Model Saddle Box - Aluminum Full Size, Extra Wide","Model 117-0-02 Saddle Box - Aluminum Full Size, Extra Wide",E:\IMAGES\ITEMS\product\1\1\Weather-Guard-Model-117-0-02-Saddle-Box-Aluminum-Full-Size.jpg,Weather Guard,"Weather Guard Model 117-0-02 Saddle Box - Aluminum Full Size, Extra Wide","Fits: All full-size pickups with 8-foot bedsFits: Chevy Silverado/GMC Sierra and Dodge Ram 6&#39; bed,  Ford F-150 6 1/2&#39; bedsIncluded: Powder coated steel divider trayEXTREME PROTECTION? Lock90? cover opening for easy accessLevel storage secures 48"" level12v access for electrical up-fitsFeatures clear coat, powder coat finish","Model 117-0-02 Saddle Box - Aluminum Full Size, Extra Wide",,"Weather Guard Model 117-0-02 Saddle Box - Aluminum Full Size, Extra Wide","Model Saddle Box - Aluminum Full Size, Extra Wide"
151|21967,Truck Boxes|Truck Boxes,117-5-02,"Model Saddle Box - Aluminum, Extra Wide","Model 117-5-02 Saddle Box - Aluminum, Extra Wide",E:\IMAGES\ITEMS\product\1\1\Weather-Guard-Model-117-5-02-Saddle-Box-Aluminum-Extra.jpg,Weather Guard,"Weather Guard Model 117-5-02 Saddle Box - Aluminum, Extra Wide","Fits: All full-size pickups with 8-foot bedsFits: Chevy Silverado/GMC Sierra 6&#39; beds, Dodge Ram 6&#39; beds and Ford F-150 6 1/2-foot bedsIncluded: Powder coated steel divider trayEXTREME PROTECTION? Lock90? cover opening for easy accessLevel storage secures 48"" level12v access for electrical up-fitsFeatures black Armor-Tuf powder coat finish","Model 117-5-02 Saddle Box - Aluminum, Extra Wide",,"Weather Guard Model 117-5-02 Saddle Box - Aluminum, Extra Wide","Model Saddle Box - Aluminum, Extra Wide"
151|21967,Truck Boxes|Truck Boxes,116-3-02,"Model Saddle Box - Steel Full Size, Extra Wide White","Model 116-3-02 Saddle Box - Steel Full Size, Extra Wide White",E:\IMAGES\ITEMS\product\1\1\Weather-Guard-Model-116-3-02-Saddle-Box-Steel-Full-Size.jpg,Weather Guard,"Weather Guard Model 116-3-02 Saddle Box - Steel Full Size, Extra Wide White","Fits: All full-size pickups with 8-foot bedsFits: Chevy Silverado/GMC Sierra 6&#39; bed, Dodge Ram 6&#39; bed and Ford F-150 6 1/2-foot bedsIncluded: Powder coated steel divider trayEXTREME PROTECTION? Lock90? cover opening for easy accessLevel storage secures 48"" level12v access for electrical up-fitsFeatures Bright White Armor-Tuf powder coat finish","Model 116-3-02 Saddle Box - Steel Full Size, Extra Wide White",,"Weather Guard Model 116-3-02 Saddle Box - Steel Full Size, Extra Wide White","Model Saddle Box - Steel Full Size, Extra Wide White"
151|21967,Truck Boxes|Truck Boxes,116-5-02,"Model Saddle Box - Steel, Full Size, Extra Wide, Black","Model 116-5-02 Saddle Box - Steel, Full Size, Extra Wide, Black",E:\IMAGES\ITEMS\product\1\1\Weather-Guard-Model-116-5-02-Saddle-Box-Steel-Full-Size.jpg,Weather Guard,"Weather Guard Model 116-5-02 Saddle Box - Steel, Full Size, Extra Wide, Black","Fits: All full-size pickups with 8-foot bedsFits: Chevy Silverado/GMC Sierra 6&#39; beds, Dodge Ram 6&#39; beds and Ford F-150 6 1/2-foot bedsIncluded: Powder coated steel divider trayEXTREME PROTECTION? Lock90? cover opening for easy accessLevel storage secures 4812v access for electrical up-fitsFeatures black Armor-Tuf powder coat finish","Model 116-5-02 Saddle Box - Steel, Full Size, Extra Wide, Black",,"Weather Guard Model 116-5-02 Saddle Box - Steel, Full Size, Extra Wide, Black","Model Saddle Box - Steel, Full Size, Extra Wide, Black"
151|21967,Truck Boxes|Truck Boxes,120-3-01,Model Low Profile Steel Saddle Box,Model 120-3-01 Low Profile Steel Saddle Box,E:\IMAGES\ITEMS\product\1\2\Weather-Guard-Model-120-3-01-Low-Profile-Steel-Saddle.jpg,Weather Guard,Weather Guard Model 120-3-01 Low Profile Steel Saddle Box,Low-Profile DesignEXTREME PROTECTION.  LockFull Weather SealLevel storage secures 48,Model 120-3-01 Low Profile Steel Saddle Box,,Weather Guard Model 120-3-01 Low Profile Steel Saddle Box,Model Low Profile Steel Saddle Box
151|21967,Truck Boxes|Truck Boxes,120-5-01,Model Low Profile Steel Saddle Box,Model 120-5-01 Low Profile Steel Saddle Box,E:\IMAGES\ITEMS\product\1\2\Weather-Guard-Model-120-5-01-Low-Profile-Steel-Saddle.jpg,Weather Guard,Weather Guard Model 120-5-01 Low Profile Steel Saddle Box,Low-Profile DesignEXTREME PROTECTION?  LockFull Weather SealLevel storage secures 48,Model 120-5-01 Low Profile Steel Saddle Box,,Weather Guard Model 120-5-01 Low Profile Steel Saddle Box,Model Low Profile Steel Saddle Box
151|21967,Truck Boxes|Truck Boxes,121-0-01,Model Low Profile Aluminum Saddle Box,Model 121-0-01 Low Profile Aluminum Saddle Box,E:\IMAGES\ITEMS\product\1\2\Weather-Guard-Model-121-0-01-Low-Profile-Aluminum-Saddle.jpg,Weather Guard,Weather Guard Model 121-0-01 Low Profile Aluminum Saddle Box,"Fits: Most Full Size Pickup TrucksAccessories: Level Storage, trayAccessories: Level Storage, trayARMOR-TUF. Clear CoatEXTREME PROTECTION. LockCorner Support Channels",Model 121-0-01 Low Profile Aluminum Saddle Box,,Weather Guard Model 121-0-01 Low Profile Aluminum Saddle Box,Model Low Profile Aluminum Saddle Box
151|21967,Truck Boxes|Truck Boxes,128-5-01,Model Steel Saddle Box - Black,Model 128-5-01 Steel Saddle Box - Black,E:\IMAGES\ITEMS\product\1\2\Weather-Guard-Model-128-5-01-Steel-Saddle-Box.jpg,Weather Guard,Weather Guard Model 128-5-01 Steel Saddle Box - Black,EXTREME PROTECTION? Lock90? cover opening for easy accessLevel storage secures 48 level12v access for electrical up-fitsFeatures Bright White Armor-Tuf powder coat finish,Model 128-5-01 Steel Saddle Box - Black,,Weather Guard Model 128-5-01 Steel Saddle Box - Black,Model Steel Saddle Box - Black
151|21967,Truck Boxes|Truck Boxes,130-5-01,Model Low Profile Steel Truck Box - Compact,Model 130-5-01 Low Profile Steel Truck Box - Compact,E:\IMAGES\ITEMS\product\1\3\Weather-Guard-Model-130-5-01-Low-Profile-Steel-Truck-Box.jpg,Weather Guard,Weather Guard Model 130-5-01 Low Profile Steel Truck Box - Compact,EXTREME PROTECTION? LockCrimp-free/drill-free install mounting bracketsReduced Clearance Coverage - 90? cover opening,Model 130-5-01 Low Profile Steel Truck Box - Compact,,Weather Guard Model 130-5-01 Low Profile Steel Truck Box - Compact,Model Low Profile Steel Truck Box - Compact
151|21967,Truck Boxes|Truck Boxes,143-0-01,"Model E-Line Saddle Box - Aluminum, Full Size","Model 143-0-01 E-Line Saddle Box - Aluminum, Full Size",E:\IMAGES\ITEMS\product\1\4\Weather-Guard-Model-143-0-01-E-Line-Saddle-Box-Aluminum.jpg,Weather Guard,"Weather Guard Model 143-0-01 E-Line Saddle Box - Aluminum, Full Size","Ergonomic Paddle Handles90? cover opening for easy accessEasy Find OrganizationFull weather sealFeatures clear coat, power coat finish","Model 143-0-01 E-Line Saddle Box - Aluminum, Full Size",,"Weather Guard Model 143-0-01 E-Line Saddle Box - Aluminum, Full Size","Model E-Line Saddle Box - Aluminum, Full Size"
151|21967,Truck Boxes|Truck Boxes,143-5-01,"Model E-Line Saddle Box - Aluminum, Full Size","Model 143-5-01 E-Line Saddle Box - Aluminum, Full Size",E:\IMAGES\ITEMS\product\1\4\Weather-Guard-Model-143-5-01-E-Line-Saddle-Box-Aluminum.jpg,Weather Guard,"Weather Guard Model 143-5-01 E-Line Saddle Box - Aluminum, Full Size",Ergonomic Paddle Handles90? cover opening for easy accessEasy Find OrganizationFull weather SealFeatures black Armor-Tuf powder coat finish,"Model 143-5-01 E-Line Saddle Box - Aluminum, Full Size",,"Weather Guard Model 143-5-01 E-Line Saddle Box - Aluminum, Full Size","Model E-Line Saddle Box - Aluminum, Full Size"
151|21967,Truck Boxes|Truck Boxes,121-5-01,Model Low Profile Aluminum Saddle Box,Model 121-5-01 Low Profile Aluminum Saddle Box,E:\IMAGES\ITEMS\product\1\2\Weather-Guard-Model-121-5-01-Low-Profile-Aluminum-Saddle.jpg,Weather Guard,Weather Guard Model 121-5-01 Low Profile Aluminum Saddle Box,Fits: Full Size Pickup TrcksARMOR-TUF? Black Powder CoatEXTREME PROTECTION? LockCorner Support ChannelsCrimp-free/drill-free install mounting bracketsReduced Clearance Coverage - 90? cover opening,Model 121-5-01 Low Profile Aluminum Saddle Box,,Weather Guard Model 121-5-01 Low Profile Aluminum Saddle Box,Model Low Profile Aluminum Saddle Box
151|21967,Truck Boxes|Truck Boxes,123-0-01,"Model Saddle Box - Aluminum, Full Size, Extra Deep","Model 123-0-01 Saddle Box - Aluminum, Full Size, Extra Deep",E:\IMAGES\ITEMS\product\1\2\Weather-Guard-Model-123-0-01-Saddle-Box-Aluminum-Full-Size.jpg,Weather Guard,"Weather Guard Model 123-0-01 Saddle Box - Aluminum, Full Size, Extra Deep","Fits: Full Size 8&#39; bedsIncludes: Powder coated steel divider trayEXTREME PROTECTION? Lock90? cover opening for easy accessLevel storage secures 4812v access for electrical up-fitsFeatures clear coat, powder coat finish","Model 123-0-01 Saddle Box - Aluminum, Full Size, Extra Deep",,"Weather Guard Model 123-0-01 Saddle Box - Aluminum, Full Size, Extra Deep","Model Saddle Box - Aluminum, Full Size, Extra Deep"
151|21967,Truck Boxes|Truck Boxes,123-5-01,Model Saddle Box - Aluminum Full Size Extra Deep,Model 123-5-01 Saddle Box - Aluminum Full Size Extra Deep,E:\IMAGES\ITEMS\product\1\2\Weather-Guard-Model-123-5-01-Saddle-Box-Aluminum-Full-Size.jpg,Weather Guard,Weather Guard Model 123-5-01 Saddle Box - Aluminum Full Size Extra Deep,"Fits: Full Size 8&#39; bedsIncludes: Powder coated steel divider trayEXTREME PROTECTION? Lock90? cover opening for easy accessLevel storage secures 4812v access for electrical up-fitsFeatures clear coat, powder coat finish",Model 123-5-01 Saddle Box - Aluminum Full Size Extra Deep,,Weather Guard Model 123-5-01 Saddle Box - Aluminum Full Size Extra Deep,Model Saddle Box - Aluminum Full Size Extra Deep
151|21967,Truck Boxes|Truck Boxes,126-3-02,"Model Saddle Box - Steel, Full Size, Standard, White","Model 126-3-02 Saddle Box - Steel, Full Size,  Standard, White",E:\IMAGES\ITEMS\product\1\2\Weather-Guard-Model-126-3-02-Saddle-Box-Steel-Full-Size.jpg,Weather Guard,"Weather Guard Model 126-3-02 Saddle Box - Steel, Full Size,  Standard, White","Fits: All full-size pickups with 6 1/2&#39; and 8&#39; foot bedsFits: Toyota Tunda short bedIncluded: Powder coated steel divider trayEXTREME PROTECTION? Lock90? cover opening for easy accessLevel storage secures 48"" level12v access for electrical up-fitsFeatures Brite White Armor-Tuf powder coat finish","Model 126-3-02 Saddle Box - Steel, Full Size,  Standard, White",,"Weather Guard Model 126-3-02 Saddle Box - Steel, Full Size,  Standard, White","Model Saddle Box - Steel, Full Size, Standard, White"
151|21967,Truck Boxes|Truck Boxes,126-5-02,"Model Saddle Box - Steel, Full Size, Standard, Black","Model 126-5-02 Saddle Box - Steel, Full Size, Standard, Black",E:\IMAGES\ITEMS\product\1\2\Weather-Guard-Model-126-5-02-Saddle-Box-Steel-Full-Size.jpg,Weather Guard,"Weather Guard Model 126-5-02 Saddle Box - Steel, Full Size, Standard, Black","Fits: All full-size pickups with 6 1/2&#39; and 8&#39; foot bedsFits: Toyota Tunda short bedIncluded: Powder coated steel divider trayEXTREME PROTECTION? Lock90? cover opening for easy accessLevel storage secures 48"" level12v access for electrical up-fitsFeatures black Armor-Tuf powder coat finish","Model 126-5-02 Saddle Box - Steel, Full Size, Standard, Black",,"Weather Guard Model 126-5-02 Saddle Box - Steel, Full Size, Standard, Black","Model Saddle Box - Steel, Full Size, Standard, Black"
151|21967,Truck Boxes|Truck Boxes,127-0-02,"Model Saddle Box - Aluminum, Full Size, Standard","Model 127-0-02 Saddle Box - Aluminum, Full Size, Standard",E:\IMAGES\ITEMS\product\1\2\Weather-Guard-Model-127-0-02-Saddle-Box-Aluminum-Full-Size.jpg,Weather Guard,"Weather Guard Model 127-0-02 Saddle Box - Aluminum, Full Size, Standard","Fits: All full-size pickups with 6 1/2&#39; and 8&#39; foot bedsFits: Toyota Tundra - short bedIncluded: Powder coated steel divider trayEXTREME PROTECTION? LockLevel storage secures 48"" levelFeatures clear coat, powder coat finishConvenient attachment points secure materials and larger tools in truck bed.?Easy Find? organization includes adjustable metal tray, removable parts bin and level holder.","Model 127-0-02 Saddle Box - Aluminum, Full Size, Standard",,"Weather Guard Model 127-0-02 Saddle Box - Aluminum, Full Size, Standard","Model Saddle Box - Aluminum, Full Size, Standard"
151|21967,Truck Boxes|Truck Boxes,127-5-02,"Model Saddle Box - Aluminum, Full Size Standard, Black","Model 127-5-02 Saddle Box - Aluminum, Full Size Standard, Black",E:\IMAGES\ITEMS\product\1\2\Weather-Guard-Model-127-5-02-Saddle-Box-Aluminum-Full-Size.jpg,Weather Guard,"Weather Guard Model 127-5-02 Saddle Box - Aluminum, Full Size Standard, Black","Fits: All full-size pickups with 6 1/2&#39; and 8&#39; foot bedsFits: Toyota Tundra - short bedIncluded: Powder coated steel divider trayEXTREME PROTECTION? Lock-Level storage secures 48"" levelFeatures clear coat, powder coat finishConvenient attachment points secure materials and larger tools in truck bed.?Easy Find? organization includes adjustable metal tray, removable parts bin and level holder.","Model 127-5-02 Saddle Box - Aluminum, Full Size Standard, Black",,"Weather Guard Model 127-5-02 Saddle Box - Aluminum, Full Size Standard, Black","Model Saddle Box - Aluminum, Full Size Standard, Black"
151|21967,Truck Boxes|Truck Boxes,128-3-01,Model Steel Truck Saddle Tool Box,Model 128-3-01 Steel Truck Saddle Tool Box,E:\IMAGES\ITEMS\product\1\2\Weather-Guard-Model-128-3-01-Steel-Truck-Saddle-Tool.jpg,Weather Guard,Weather Guard Model 128-3-01 Steel Truck Saddle Tool Box,"Fits: Chevy Silverado and GMC Sierra 6&#39; and 8&#39; bed, Dodge Ram 8&#39; bed, Ford F-150 and F-250 8&#39; bed, Nissan Titan 6 1/2&#39; bed and Toyota Tundra 8&#39; bedIncluded: Powder coated steel divider trayEXTREME PROTECTION? Lock90? cover opening for easy accessLevel storage secures 48"" level12v access for electrical up-fitsFeatures Brite White Armor-Tuf powder coat finish",Model 128-3-01 Steel Truck Saddle Tool Box,,Weather Guard Model 128-3-01 Steel Truck Saddle Tool Box,Model Steel Truck Saddle Tool Box
151|21967,Truck Boxes|Truck Boxes,131-0-01,Model Low Profile Aluminum Truck Box - Compact,Model 131-0-01 Low Profile Aluminum Truck Box - Compact,E:\IMAGES\ITEMS\product\1\3\Weather-Guard-Model-131-0-01-Low-Profile-Aluminum-Truck-Box.jpg,Weather Guard,Weather Guard Model 131-0-01 Low Profile Aluminum Truck Box - Compact,Fits: All Compact Pickup TrucksARMOR-TUF? Clear CoatEXTREME PROTECTION? LockCrimp-free/drill-free install mounting bracketsReduced Clearance Coverage - 90? cover opening,Model 131-0-01 Low Profile Aluminum Truck Box - Compact,,Weather Guard Model 131-0-01 Low Profile Aluminum Truck Box - Compact,Model Low Profile Aluminum Truck Box - Compact
151|21967,Truck Boxes|Truck Boxes,131-5-01,Model Compact Aluminum Low Profile Saddle Box,Model 131-5-01 Compact Aluminum Low Profile Saddle Box,E:\IMAGES\ITEMS\product\1\3\Weather-Guard-Model-131-5-01-Compact-Aluminum-Low-Profile.jpg,Weather Guard,Weather Guard Model 131-5-01 Compact Aluminum Low Profile Saddle Box,Fits: Compact Pickup TrucksARMOR-TUF? Black Powder CoatEXTREME PROTECTION? LockReduced Clearance Coverage - 90? cover openingCrimp-free/drill-free install mounting brackets,Model 131-5-01 Compact Aluminum Low Profile Saddle Box,,Weather Guard Model 131-5-01 Compact Aluminum Low Profile Saddle Box,Model Compact Aluminum Low Profile Saddle Box
151|21967,Truck Boxes|Truck Boxes,136-3-01,"Model Saddle Box- Steel, Compact, Deep","Model 136-3-01 Saddle Box- Steel, Compact, Deep",E:\IMAGES\ITEMS\product\1\3\Weather-Guard-Model-136-3-01-Saddle-Box-Steel-Compact.jpg,Weather Guard,"Weather Guard Model 136-3-01 Saddle Box- Steel, Compact, Deep","Fits: Long bed Ford Ranger and Nisson FrontierIncluded: Powder coated steel divider tray.EXTREME PROTECTION? Lock90? cover opening for easy accessLevel storage secures 48"" level12v access for electrical up-fitsFeatures Brite White, Armor-Tuf, powder coat finish","Model 136-3-01 Saddle Box- Steel, Compact, Deep",,"Weather Guard Model 136-3-01 Saddle Box- Steel, Compact, Deep","Model Saddle Box- Steel, Compact, Deep"
151|21967,Truck Boxes|Truck Boxes,137-0-01,"Model Saddle Box - Aluminum, Compact, Deep","Model 137-0-01 Saddle Box - Aluminum, Compact, Deep",E:\IMAGES\ITEMS\product\1\3\Weather-Guard-Model-137-0-01-Saddle-Box-Aluminum-Compact.jpg,Weather Guard,"Weather Guard Model 137-0-01 Saddle Box - Aluminum, Compact, Deep","Fits: Ford Ranger and Chevy S-10Fits: Dodge DakotaFits: Nissan FrontierIncluded: Powder coated steel divider trayEXTREME PROTECTION? Lock90? cover opening for easy accessLevel storage secures 48"" level12v access for electrical up-fitsFeatures Clear Coat Armor-Tuf powder coat finish","Model 137-0-01 Saddle Box - Aluminum, Compact, Deep",,"Weather Guard Model 137-0-01 Saddle Box - Aluminum, Compact, Deep","Model Saddle Box - Aluminum, Compact, Deep"
151|21967,Truck Boxes|Truck Boxes,137-5-01,"Model Saddle Box - Aluminum, Compact, Deep","Model 137-5-01 Saddle Box - Aluminum, Compact, Deep",E:\IMAGES\ITEMS\product\1\3\Weather-Guard-Model-137-5-01-Saddle-Box-Aluminum-Compact.jpg,Weather Guard,"Weather Guard Model 137-5-01 Saddle Box - Aluminum, Compact, Deep","Fits: Ford Ranger and Chevy S-10Fits: Dodge DakotaFits: Nissan FrontierIncluded: Powder coated steel divider trayEXTREME PROTECTION? Lock90? cover opening for easy accessLevel storage secures 48"" level12v access for electrical up-fitsFeatures black Armor-Tuf powder coat finish","Model 137-5-01 Saddle Box - Aluminum, Compact, Deep",,"Weather Guard Model 137-5-01 Saddle Box - Aluminum, Compact, Deep","Model Saddle Box - Aluminum, Compact, Deep"
